date,year,month,camp_population,urban_population,total_population
2013-03-11,2013,3,156557,253316,409873
2013-04-01,2013,4,179101,303590,482691
2013-05-01,2013,5,152422,380754,533176
2013-06-01,2013,6,147287,475402,622689
2013-07-01,2013,7,144570,550836,695406
2013-08-01,2013,8,135205,627168,762373
2013-09-01,2013,9,126388,718860,845248
2013-10-01,2013,10,123454,414562,538016
2013-11-01,2013,11,114324,432504,546828
2013-12-01,2013,12,121033,449177,570210
2014-01-01,2014,1,127961,456984,584945
2014-02-01,2014,2,132254,464909,597163
2014-03-01,2014,3,108416,476976,585392
2014-04-01,2014,4,109907,482796,592703
2014-05-01,2014,5,105229,491849,597078
2014-06-01,2014,6,101967,501137,603104
2014-07-01,2014,7,98770,509557,608327
2014-08-01,2014,8,96969,515302,612271
2014-09-01,2014,9,95687,522428,618115
2014-10-01,2014,10,97528,525109,622637
2014-11-01,2014,11,96979,524646,621625
2014-12-01,2014,12,100222,525190,625412
2015-01-01,2015,1,100337,525395,625732
2015-02-01,2015,2,101135,523272,624407
2015-03-01,2015,3,102908,542145,645053
2015-04-01,2015,4,106605,541671,648276
2015-05-01,2015,5,106587,522496,629083
2015-06-01,2015,6,107517,523275,630792
2015-07-01,2015,7,108341,538315,646656
2015-08-01,2015,8,108483,538305,646788
2015-09-01,2015,9,109087,536582,645669
2015-10-01,2015,10,110646,533343,643989
2015-11-01,2015,11,112294,533758,646052
2015-12-01,2015,12,113824,533583,647407
2016-01-01,2016,1,115671,533394,649065
2016-02-01,2016,2,117554,533620,651174
2016-03-01,2016,3,118920,534049,652969
2016-04-01,2016,4,122245,529460,651705
2016-05-01,2016,5,133325,530184,663509
2016-06-01,2016,6,137068,530375,667443
2016-07-01,2016,7,141184,527942,669126
2016-08-01,2016,8,141294,527285,668579
2016-09-01,2016,9,140803,525863,666666
2016-10-01,2016,10,141404,523922,665326
2016-11-01,2016,11,141318,524282,665600
2016-12-01,2016,12,140822,524148,664970
2017-01-01,2017,1,141148,523628,664776
2017-02-01,2017,2,141101,523881,664982
2017-03-01,2017,3,141045,524986,666031
2017-04-01,2017,4,141099,525770,666869
2017-05-01,2017,5,141201,526642,667843
2017-06-01,2017,6,141178,527527,668705
2017-07-01,2017,7,141152,528167,669319
2017-08-01,2017,8,140727,527947,668674
2017-09-01,2017,9,140424,526705,667129
2017-10-01,2017,10,139516,522775,662291
2017-11-01,2017,11,139357,516824,656181
2017-12-01,2017,12,139409,517293,656702
2018-01-01,2018,1,139552,517170,656722
2018-02-01,2018,2,140002,518733,658735
2018-03-01,2018,3,140288,519877,660165
2018-04-01,2018,4,131666,531295,662961
2018-05-01,2018,5,126467,540624,667091
2018-06-01,2018,6,125974,541333,667307
2018-07-01,2018,7,126235,542620,668855
2018-08-01,2018,8,126345,544827,671172
2018-09-01,2018,9,125642,546548,672190
2018-10-01,2018,10,125783,547209,672992
2018-11-01,2018,11,125854,548629,674483
2018-12-01,2018,12,126064,546011,672075
2019-01-01,2019,1,123260,532126,655386
2019-02-01,2019,2,126009,546065,672074
2019-03-01,2019,3,124625,546544,671169
2019-04-01,2019,4,121280,539884,661164
2019-05-01,2019,5,123372,541637,665009
2019-06-01,2019,6,123319,539413,662732
2019-07-01,2019,7,123210,537840,661050
2019-08-01,2019,8,123073,535114,658187
2019-09-01,2019,9,122976,532622,655598
2019-10-01,2019,10,123034,531912,654946
2019-11-01,2019,11,123084,531802,654886
2020-01-01,2020,1,123260,532139,655399
2020-02-01,2020,2,123651,532545,656196
2020-03-01,2020,3,123848,533017,656865
2020-04-01,2020,4,124019,532920,656939
2020-05-01,2020,5,124444,533012,657456
2020-06-01,2020,6,124720,533290,658010
2020-07-01,2020,7,125157,533638,658795
2020-08-01,2020,8,125461,534039,659500
2020-09-01,2020,9,125848,534540,660388
2020-11-01,2020,11,126832,535862,662694
2021-01-01,2021,1,127380,536111,663491
2021-02-01,2021,2,127663,536563,664226
2021-03-01,2021,3,128051,537235,665286
2021-04-01,2021,4,128290,537792,666082
2021-05-01,2021,5,128371,538109,666480
2021-06-01,2021,6,128579,538781,667360
2021-07-01,2021,7,128861,540080,668941
2021-08-01,2021,8,129065,541038,670103
2021-09-01,2021,9,129822,541430,671252
2021-10-01,2021,10,130183,540803,670986
2021-11-01,2021,11,130570,542039,672609
2021-12-01,2021,12,131041,542366,673407
2022-01-01,2022,1,131309,542288,673597
2022-02-01,2022,2,131554,542359,673913
2022-03-01,2022,3,131850,542807,674657
2022-04-01,2022,4,132005,542703,674708
2022-05-01,2022,5,132259,542649,674908
2022-06-01,2022,6,132603,542890,675493
2022-07-01,2022,7,133111,543718,676829
2022-08-01,2022,8,133111,543542,676653
2022-09-01,2022,9,133461,543577,677038
2022-10-01,2022,10,133751,543428,677179
2022-11-01,2022,11,134077,543110,677187
2022-12-01,2022,12,134561,535419,669980
2023-01-01,2023,1,134582,526774,661356
2023-02-01,2023,2,134807,527335,662142
2023-03-01,2023,3,135028,527308,662336
2023-04-01,2023,4,135123,525523,660646
2023-05-01,2023,5,135318,525287,660605
2023-06-01,2023,6,135547,524475,660022
2023-07-01,2023,7,135664,523793,659457
2023-08-01,2023,8,135844,520918,656762
2023-09-01,2023,9,136060,519223,655283
2023-10-01,2023,10,136181,517111,653292
2023-11-01,2023,11,136374,516468,652842
2023-12-01,2023,12,136492,514837,651329
2024-01-01,2024,1,136657,512434,649091
2024-02-01,2024,2,130905,512294,643199
2024-03-01,2024,3,127926,511626,639552
2024-04-01,2024,4,127578,511182,638760
2024-05-01,2024,5,127789,506939,634728
2024-06-01,2024,6,127867,503789,631656
2024-07-01,2024,7,128015,500120,628135
2024-08-01,2024,8,128278,496747,625025
2024-09-01,2024,9,127937,496562,624499
2024-10-01,2024,10,127191,493991,621182
2024-11-01,2024,11,126986,491987,618973
2024-12-01,2024,12,126647,492912,619559
2025-01-01,2025,1,125905,485568,611473
2025-02-01,2025,2,123365,465794,589159
2025-03-01,2025,3,118852,445227,564079
2025-04-01,2025,4,117886,440034,557920
2025-05-01,2025,5,117749,430167,547916
2025-06-01,2025,6,116131,423684,539815
2025-07-01,2025,7,111010,406558,517568
2025-08-01,2025,8,104619,383486,488105
2025-09-01,2025,9,97630,368725,466355
2025-10-01,2025,10,93557,356033,449590
2025-11-01,2025,11,90981,347564,438545
